timestamp,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int
2020-01-01 00:11:00+00:00,0.0,0.0,0.0,0.0,0.0,1.59,3.1,0
2020-01-01 01:11:00+00:00,0.0,0.0,0.0,0.0,0.0,2.05,3.31,0
2020-01-01 02:11:00+00:00,0.0,0.0,0.0,0.0,0.0,2.76,3.66,0
2020-01-01 03:11:00+00:00,0.0,0.0,0.0,0.0,0.0,3.35,3.79,0
2020-01-01 04:11:00+00:00,0.0,0.0,0.0,0.0,0.0,3.61,3.86,0
2020-01-01 05:11:00+00:00,0.0,0.0,0.0,0.0,0.0,3.99,3.93,0
2020-01-01 06:11:00+00:00,0.0,0.0,0.0,0.0,0.0,4.14,4.0,0
2020-01-01 07:11:00+00:00,0.0,0.0,0.0,0.0,0.0,4.44,4.21,0
2020-01-01 08:11:00+00:00,0.0,0.0,0.0,0.0,0.0,4.61,4.48,0
2020-01-01 09:11:00+00:00,0.0,0.0,1.0,0.0,1.87,4.86,4.62,0
2020-01-01 10:11:00+00:00,24.24,0.0,17.0,0.0,6.7,5.21,4.69,0
2020-01-01 11:11:00+00:00,75.28,0.0,35.0,0.0,9.84,5.64,4.76,0
2020-01-01 12:11:00+00:00,87.4,0.0,39.0,0.0,11.03,6.05,4.41,0
2020-01-01 13:11:00+00:00,246.36,18.0,74.0,0.0,10.18,6.11,5.03,0
2020-01-01 14:11:00+00:00,7.88,0.0,10.0,0.0,7.35,6.02,4.9,0
2020-01-01 15:11:00+00:00,0.0,0.0,5.0,0.0,2.77,5.77,4.9,0
2020-01-01 16:11:00+00:00,0.0,0.0,0.0,0.0,0.0,5.62,5.1,0
2020-01-01 17:11:00+00:00,0.0,0.0,0.0,0.0,0.0,5.6,5.31,0
2020-01-01 18:11:00+00:00,0.0,0.0,0.0,0.0,0.0,5.51,5.38,0
2020-01-01 19:11:00+00:00,0.0,0.0,0.0,0.0,0.0,4.86,5.24,0
2020-01-01 20:11:00+00:00,0.0,0.0,0.0,0.0,0.0,4.81,5.31,0
2020-01-01 21:11:00+00:00,0.0,0.0,0.0,0.0,0.0,5.0,5.59,0
2020-01-01 22:11:00+00:00,0.0,0.0,0.0,0.0,0.0,5.2,5.93,0
