month,pv_kwh,load_kwh,self_consumed_kwh,exported_kwh,grid_import_kwh
2020-01,78.5383936207672,297.52967953156406,49.38682137548403,29.151572245283155,248.14285815608005
2020-02,159.43199244669918,275.3240487086993,72.9873670102923,86.44462543640688,202.33668169840698
2020-03,321.306452444128,284.37695362162015,109.18567438059071,212.12077806353727,175.1912792410294
2020-04,491.1650295130536,262.0256357745785,129.9723948119286,361.192634701125,132.0532409626499
2020-05,647.872728884296,257.7897726337067,151.92994918922943,495.9427796950666,105.85982344447727
2020-06,504.8162144437096,239.5867933753995,140.6552975643434,364.16091687936614,98.93149581105607
2020-07,481.03161613008956,244.01681377392669,139.8121865410816,341.219429589008,104.2046272328451
2020-08,401.7674535119544,248.29672394402866,126.78614912461643,274.98130438733796,121.51057481941221
2020-09,347.73095862961117,249.53630677863197,107.16146375189521,240.56949487771598,142.37484302673676
2020-10,152.56694900054399,271.524445403165,78.86134054687201,73.70560845367197,192.66310485629293
2020-11,100.0631759363272,275.7757440652309,53.74028328170539,46.322892654621796,222.03546078352556
2020-12,66.15864358885679,294.2170823894483,43.86460817357094,22.29403541528585,250.35247421587738
