year,annual_generation_kWh,self_consumption_kWh,export_kWh,import_kWh,annual_pv_kwh,annual_savings_tariffA_gbp,npv_tariffA_gbp,payback_tariffA_years,annual_savings_tariffB_gbp,npv_tariffB_gbp,payback_tariffB_years,annual_savings_tariffC_gbp,npv_tariffC_gbp,payback_tariffC_years
2013,3544.6231501681514,1187.39466892179,2357.228481246361,2012.60533107821,3544.6231501681514,686.0547794850554,321.94734119852455,10.0,643.7107505064027,-115.55476568841368,11.0,450.3319313604194,-2023.60173682244,
2014,3749.2890768865946,1206.7994062289677,2542.4896706576264,1993.2005937710321,3749.2890768865946,719.2772843427549,658.3953174163767,10.0,676.2070901267222,212.94221483875663,10.0,465.0283172769923,-1872.231010136563,
2015,3630.7028888485047,1207.3142192252826,2423.388669623222,1992.6857807747174,3630.7028888485047,701.5562818265626,479.106781398531,10.0,658.7273995740898,36.42549617243003,11.0,459.2174148642403,-1932.241806847897,
2016,3482.8301703590896,1180.0344613814837,2302.7957089776055,2019.965538618516,3482.8301703590896,675.8290055334563,218.7777351299355,10.0,632.8433705795737,-225.48241795186777,11.0,445.5494346356958,-2072.1147792161087,
2017,3438.118821882894,1162.514653799818,2275.604168083075,2037.4853462001818,3438.118821882894,666.8447282764105,127.67157096199615,11.0,624.5418802693678,-309.5914962201441,11.0,439.28431146810294,-2136.3317784868364,
2018,3741.0687451441772,1182.9704556813554,2558.0982894628223,2017.0295443186442,3741.0687451441777,714.9464710102029,613.0252851428145,10.0,672.6145690562105,175.71412697853566,11.0,459.1366420639208,-1934.6726541784117,
2019,3554.709712964308,1188.5860236682213,2366.1236892960865,2011.4139763317785,3554.709712964308,687.722640021515,339.0671326840338,10.0,645.1255397137593,-101.38093416056743,11.0,451.1102710919064,-2015.188805703909,
2020,3751.46534509144,1191.0448046790234,2560.4205404124173,2008.9551953209761,3751.46534509144,717.5556263719893,640.3811877166427,10.0,674.6086933657452,196.2447109302202,10.0,461.5135723307476,-1908.8220948815465,
2021,3521.558208793268,1174.8761311331368,2346.6820776601307,2025.1238688668632,3521.558208793268,680.9676283662981,270.71158400349714,10.0,639.4489360878698,-158.60855795860698,11.0,446.29942060028503,-2064.2259279537093,
2022,3721.0929646209797,1192.2555837571906,2528.8373808637893,2007.7444162428092,3721.09296462098,713.1571705815818,596.3116141236828,10.0,670.4838470821593,154.84586759567537,11.0,460.2734324952028,-1920.9191395001476,
2023,3624.460508103666,1182.1802450558416,2442.2802630478245,2017.819754944158,3624.460508103666,697.3525080728095,436.3037888066492,10.0,655.5461883921691,4.225494884186901,11.0,453.1244817680271,-1994.43158333774,
